経過時間(s),初速度(0.0kph),初速度(5.0kph),初速度(10.0kph),初速度(15.0kph),初速度(20.0kph),初速度(25.0kph),初速度(30.0kph),初速度(35.0kph),初速度(40.0kph),初速度(45.0kph),初速度(50.0kph),初速度(55.0kph),初速度(60.0kph),初速度(65.0kph),初速度(70.0kph),初速度(75.0kph),初速度(80.0kph),初速度(85.0kph),初速度(90.0kph),初速度(95.0kph),初速度(100.0kph),初速度(105.0kph),初速度(110.0kph),初速度(115.0kph),初速度(120.0kph),初速度(125.0kph),初速度(130.0kph),初速度(135.0kph),初速度(140.0kph)
2.76,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3
2.77,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.78,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.79,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.8,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.81,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.82,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.83,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.84,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.85,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.86,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.87,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.88,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.89,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.9,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.91,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.92,0.75,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.93,0.75,0.75,0.7,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3
2.94,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
2.95,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
2.96,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
2.97,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
2.98,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
2.99,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3,0.75,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.01,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.02,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.03,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.04,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.05,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.06,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.07,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.08,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.09,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.1,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.11,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.12,0.75,0.7,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.13,0.75,0.7,0.7,0.7,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.14,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.15,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.16,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.17,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3
3.18,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.19,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.2,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.21,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.22,0.75,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.23,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.24,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.25,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.26,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.27,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.28,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.29,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.3,0.75,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.31,0.7,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.32,0.7,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.33,0.7,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.34,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.35,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.36,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.37,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.38,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.39,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.4,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.41,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.42,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.43,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.44,0.7,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.45,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.46,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.47,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.48,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.49,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.5,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.51,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.52,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.53,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.54,0.7,0.65,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.55,0.7,0.65,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.56,0.7,0.65,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.57,0.7,0.65,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3
3.58,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.59,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.6,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.61,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.62,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.63,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.64,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.65,0.7,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.66,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.67,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.68,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.69,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.7,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.71,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.72,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.73,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.74,0.7,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.75,0.65,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.76,0.65,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.77,0.65,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.78,0.65,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.79,0.65,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.8,0.65,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.81,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.82,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.83,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.84,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.85,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.86,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.87,0.65,0.65,0.65,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.88,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
3.89,0.65,0.65,0.6,0.6,0.6,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3
